"Sexo";"Longitud";"Diametro";"Altura";"PesoTotal";"PesoMolusco";"PesoConcha";"PesoConchaDisecada";"Anillos"
"M";485;400;135;663;313;137;200;10
"M";470;375;120;556,5;226;122;195;12
"I";415;325;100;321,5;153,5;59,5;105;10
"F";470;375;125;561,5;252;137;180;10
"M";450;355;115;479;212,5;104,5;150;8
"M";545;440;120;856,5;347,5;171,5;240;12
"M";565;455;170;906,5;342;156;320;18
"M";575;400;155;932,5;360,5;244,5;300;17
"M";570;465;125;849;378,5;176,5;240;15
"M";630;480;145;1011,5;423,5;237;305;12
"F";585;465;140;908;381;161,5;315;13
"M";540;420;135;807,5;348,5;179,5;235;11
"M";555;450;175;874;327,5;202;305;10
"M";600;470;175;1105;486,5;247;315;15
"M";270;195;80;100;38,5;19,5;30;6
"F";570;445;155;733;282;159;235;14
"M";275;205;70;94;33,5;20;32,5;5
"F";380;290;105;257;99;51;85;10
"F";440;340;105;364;148;80,5;117,5;8
"I";450;345;135;443;197,5;87,5;117,5;14
"F";610;475;140;1133;527,5;235,5;350;11
"I";580;445;150;886,5;383;209;255;11
"F";645;525;190;1463,5;661,5;343,5;435;19
"F";410;305;100;363;173,5;65;110;11
"I";520;425;170;680,5;280;174;195;10
"F";385;315;110;286;122,5;63,5;83,5;10
"M";325;240;75;155;47,5;35,5;60;9
"I";495;370;125;477,5;185;70,5;169;18
"F";500;385;105;498;179,5;109,5;170;17
"M";480;375;145;777;216;130;170;9
"I";335;245;90;166,5;59,5;40;60;6
"M";295;215;75;129;50;29,5;40;7
"F";500;375;115;594,5;185;148;190;11
"I";370;275;100;229,5;88,5;46,5;70;7
"I";180;125;35;26,5;9,5;5,5;8,5;4
"M";525;425;120;866,5;282,5;176;290;18
"M";520;385;115;669;238,5;172;205;12
"M";530;440;205;835;320;217,5;245;14
"M";530;415;130;842,5;275;194,5;265;20
"M";490;380;140;760,5;245;167;185;10
"M";465;350;140;575,5;201,5;150,5;190;15
"M";560;410;165;930;350,5;237;300;13
"I";215;155;60;52,5;21;16,5;15;5
"M";460;340;135;495;165,5;117;185;10
"I";370;275;100;220;94;45;65;7
"M";515;380;135;661,5;287,5;209,5;155;10
"I";315;240;85;171,5;71;34,5;53,5;7
"I";395;290;95;304;127;84;77;6
"I";445;335;100;489,5;274,5;86;110,5;7
"F";550;450;150;875;362;175,5;276,5;10
"F";600;475;155;1210;653;169,5;320,5;10
"M";600;495;175;1290;606;276;344,5;11
"F";615;500;175;1377;558,5;330;292;12
"M";620;500;165;1307;635,5;254,5;315;9
"F";635;485;165;1294,5;668;260,5;271,5;9
"F";640;510;165;1486;759,5;332;321;8
"F";675;525;155;1478,5;628;340,5;420;9
"I";300;235;80;131;50;26,5;43;4
"I";315;230;70;144;53;30,5;40;8
"I";330;265;85;196;77,5;30,5;44,5;6
"I";335;250;75;186;94,5;38;44,5;7
"I";435;325;120;399,5;181,5;61;112,5;8
"I";460;345;105;449;196;94,5;126,5;7
"I";465;345;110;441,5;175,5;90,5;120;7
"I";505;390;150;685;362;131;156;8
"M";510;390;135;769;393,5;145,5;190;8
"M";515;390;155;712,5;369,5;137;155;7
"F";565;400;130;697,5;307,5;166,5;180;8
"M";570;450;155;1193,5;513;210;343;10
"F";580;450;145;1137;558,5;220;290;8
"M";580;490;130;1133,5;586;256,5;237;9
"M";595;475;165;1213;621;243,5;274;9
"M";625;490;175;1332,5;570,5;271;405;10
"F";625;485;200;1380;584,5;302;401;9
"M";635;490;175;1375;623;270,5;395;11
"F";645;515;150;1212;515;205,5;385;10
"M";650;525;185;1622;664,5;322,5;477;10
"I";275;195;65;106;54;20;28;6
"I";300;220;80;125,5;55;26,5;39;6
"I";445;340;145;434;194,5;90,5;130;7
"M";520;400;145;776,5;352,5;184,5;185;9
"F";520;460;150;1019;523;198,5;254;7
"M";650;500;155;1202;565;313,5;294;11
"F";670;505;205;1364,5;607,5;302,5;353;9
"M";700;575;190;2273;1095;418;638;12
"F";705;550;170;1219;639,5;236;301;9
"I";350;270;75;215;100;36;65;6
"I";365;270;85;187,5;81;42;58;6
"I";405;285;90;264,5;126,5;50,5;75;6
"I";410;335;110;330;157;70,5;170;7
"I";530;415;110;574,5;252,5;123,5;189;9
"I";545;405;135;594,5;270;118,5;185;8
"I";550;435;140;753,5;328,5;155,5;232,5;10
"F";560;445;155;1224;556,5;322,5;269,5;10
"M";570;435;170;873;382;183;270,5;10
"F";580;445;150;858;400;156;253;8
"M";585;450;180;799,5;336;185,5;237;8
"M";590;455;155;885,5;388;188;275;10
"I";605;435;130;902,5;432;174;260;11
"F";635;500;165;1459,5;705;264,5;390;9
"F";660;495;210;1548;724;352,5;392,5;10
"F";670;530;225;1561,5;630;487;372,5;11
"I";395;295;90;302,5;143;66,5;76,5;5
"I";405;290;90;282,5;112;75;81,5;7
"F";495;380;120;573;265,5;128,5;144;7
"I";515;395;125;556;269,5;96;170;8
"M";525;400;140;720,5;368,5;145;173,5;8
"F";580;435;140;953;475;216,5;209,5;9
"M";625;470;180;1136;451;324,5;305;11
"M";650;515;175;1466;677;304,5;400;10
"F";700;550;170;1684;753,5;326,5;320;11
"I";210;170;45;47,5;19;11;13;5
"I";295;215;70;121;47;15,5;40,5;6
"I";355;260;90;198,5;71,5;49,5;58;7
"I";360;265;75;184,5;83;36,5;55;7
"I";370;270;95;217,5;97;46;65;6
"I";375;280;80;216,5;93,5;92,5;70;7
"I";380;285;95;243;89,5;66,5;75;7
"I";390;290;100;222,5;95;46,5;73;7
"I";425;325;110;317;135;48;90;8
"I";465;370;120;436,5;188;81,5;147;9
"M";475;360;100;428,5;196,5;99;112;7
"M";480;355;160;464;221;106;239;8
"I";495;370;125;471,5;207,5;91;150;8
"I";515;390;125;570,5;238;126,5;185;8
"I";525;390;120;664;311,5;147;178;9
"I";540;425;135;686;347,5;154,5;213;8
"I";545;375;120;543;237,5;115,5;172,5;8
"I";560;445;150;822,5;368,5;187;236;10
"M";575;470;185;985;374,5;217,5;355;10
"M";580;430;130;798;365;173;228,5;10
"I";590;450;145;1022;428;268;265;10
"F";600;480;180;1064,5;449,5;245,5;325;10
"I";605;470;145;802,5;379;226,5;220;9
"M";615;475;175;1224;603,5;261;311;9
"I";620;485;180;1154;493,5;256;315;12
"F";620;515;155;1325,5;668,5;260,5;335;12
"I";620;470;140;856,5;359,5;160;295;9
"M";630;490;170;1174,5;525,5;273;339;11
"M";640;525;185;1707;763;420,5;443,5;11
"M";645;485;150;1221,5;569,5;273,5;330;9
"M";655;550;180;1274;586;281;365;10
"M";660;510;165;1637,5;768,5;354,5;392,5;14
"M";665;525;175;1443;663,5;384,5;353;11
"M";665;505;160;1289;614,5;253;366,5;11
"M";670;505;160;1258,5;625,5;311;308;12
"M";670;520;165;1390;711;286,5;300;11
"M";685;520;150;1373,5;718,5;293;320;11
"M";775;630;250;2779,5;1348,5;760;578;12
"M";530;410;140;754,5;349,5;171,5;210,5;8
"I";545;420;165;893,5;423,5;219,5;228;8
"F";640;475;140;1072,5;489,5;229,5;310;8
"M";695;530;190;1726;762,5;436;455;11
"I";535;455;140;1001,5;530;176,5;244;9
"I";540;395;135;655,5;270,5;155;192;9
"I";550;435;140;799,5;295;190,5;238;10
"M";570;415;130;880;427,5;195,5;238;13
"F";575;465;175;1099;473,5;202;350;9
"F";625;445;160;1090;460;296,5;304;11
"F";635;505;155;1289,5;594;314;345;11
"M";640;490;155;1128,5;477;269;340;9
"F";655;525;175;1348;585,5;260,5;394;10
"M";655;520;170;1144,5;530;223;348;9
"F";665;500;150;1247,5;462,5;295,5;359,5;10
"F";700;575;205;1773;605;447;538;13
"I";160;110;25;19,5;7,5;5;6;4
"I";290;210;70;111,5;48;20,5;30;5
"I";435;325;120;346;159;84;95;7
"M";450;330;105;495,5;257,5;82;129;8
"I";255;190;60;86;40;18,5;25;5
"F";455;355;1130;594;332;116;133,5;8
"M";465;360;110;495,5;266,5;85;121;7
"M";525;385;100;511,5;246;100,5;145,5;8
"F";610;430;140;909;438;200;220;8
"F";730;555;180;1689,5;655,5;196,5;493,5;10
"F";400;310;115;346,5;147,5;69,5;115;10
"I";310;225;50;144,5;67,5;38,5;45;6
"F";375;290;80;282;140,5;72,5;80;7
"I";455;370;125;433;201;126,5;145;9
"I";475;360;110;455,5;177;96,5;145;9
"M";470;375;115;426,5;168,5;75,5;150;8
"F";500;400;125;576,5;239,5;126;185;10
"I";460;350;110;394,5;168,5;86,5;125;9
"M";375;305;90;324,5;139,5;56,5;95;5
"M";575;450;185;925;342;197;350;12
"F";625;420;165;1059,5;358;165;445;21
"M";445;340;120;447,5;193;103,5;130;9
"M";645;495;185;1493,5;526,5;278,5;455;15
"I";260;215;80;99;37;25,5;45;5
"F";680;550;200;1596;525;407,5;585;21
"F";485;375;145;588,5;238,5;115,5;190;13
"M";600;480;175;1229;412,5;273,5;415;13
"M";600;485;175;1267,5;499,5;281,5;380;13
"F";645;500;200;1428,5;639;305;360;11
"M";635;510;210;1598;653,5;283,5;580;15
"M";440;375;130;487;226;96,5;155;9
"F";500;395;150;714,5;323,5;173;195;9
"F";385;305;105;331,5;136,5;74,5;100;7
"F";520;415;145;804,5;332,5;172,5;285;10
"F";535;450;135;807,5;322;181;250;13
"F";465;375;135;600;222,5;129;230;16
"F";505;395;145;651,5;269,5;153;205;15
"I";480;390;145;582,5;231,5;121;255;15
"M";695;550;220;1551,5;566;383,5;445;13
"M";560;455;165;860;401,5;169,5;245;11
"I";170;125;55;23,5;9;5,5;8;6
"M";670;550;170;1247;472;245,5;400;21
"F";515;435;170;631;276,5;111;216;12
"M";555;440;135;902,5;380,5;210,5;280;13
"F";600;470;200;1031;392;203,5;290;15
"M";175;135;40;30,5;11;7,5;10;5
"F";455;350;125;448,5;158,5;102;133,5;16
"M";310;245;95;150;52,5;34;48;7
"M";260;200;65;96;44;27;30;6
"M";260;190;75;94,5;44,5;20;30;6
"F";370;285;105;270;112,5;58,5;83,5;9
"F";520;405;140;691,5;276;137;215;11
"F";520;425;145;700;207;190,5;240;13
"F";630;510;185;1235;511,5;349;306,5;11
"M";505;400;155;841,5;271,5;177,5;285;12
"I";300;230;75;127;52;30;34,5;6
"F";465;350;135;626,5;259;144,5;175;8
"M";480;370;135;631,5;344,5;101,5;161;7
"M";590;480;160;1262;568,5;272,5;335;9
"F";625;490;155;1330;667,5;259;330;10
"F";460;350;115;460;202,5;111,5;116,5;6
"M";610;480;150;1149,5;564;274;264;8
"M";645;500;175;1510,5;673,5;375,5;377,5;12
"M";765;585;180;2398;1128;512;533,5;12
"I";275;205;70;105,5;495;19;31,5;5
"I";330;240;75;163;74,5;33;48;6
"I";430;320;100;346,5;163,5;80;90;7
"F";575;480;150;897;423,5;190,5;248;8
"F";585;450;150;938;467;203;225;7
"M";595;470;165;1108;491,5;232,5;334,5;9
"F";605;480;150;1079;450,5;283,5;293;10
"M";615;475;175;1103;463,5;309,5;272,5;10
"M";650;515;125;1180,5;523,5;283;327,5;9
"M";670;500;200;1269;576;298,5;351;11
"I";250;175;60;63,5;27,5;8;20;4
"I";335;250;80;167;67,5;32,5;57,5;6
"I";405;300;90;288,5;138;63,5;76,5;6
"I";475;355;115;519,5;279;88;132,5;7
"I";525;385;130;607;235,5;125;195;8
"I";550;425;145;890;432,5;171;236;10
"I";555;435;145;697,5;262;157,5;240;11
"F";585;455;130;875,5;411;206,5;225;8
"M";625;490;165;1205;517,5;310,5;346,5;10
"M";640;515;80;1042;515;175,5;175;10
"F";660;505;190;1404,5;625,5;337,5;374,5;9
"I";255;195;55;72,5;28,5;17;21;4
"I";390;290;90;262,5;117;54;77;7
"M";665;515;190;1638,5;831;357,5;371;11
"F";720;550;180;1520;637;325;435;10
"I";470;385;130;587;264;117;174;8
"I";500;370;120;544,5;249;106,5;152;8
"I";520;400;110;597;293,5;115,5;160;8
"I";545;430;150;742;352,5;158;208;10
"F";550;435;140;745;347;174;226,5;9
"M";575;450;165;965,5;498;190;230;8
"M";580;460;150;1049;520,5;193,5;305;10
"M";625;490;120;876,5;456;180;233;10
"M";630;510;170;1188,5;491,5;306,5;348;7
"M";635;520;175;1292;600;269;367;11
"M";640;505;180;1297;590;312,5;363;11
"F";655;500;205;1528;621,5;372,5;453,5;11
"F";505;380;130;693;391;119,5;151,5;8
"F";595;430;210;1524,5;653;396;410;11
"M";700;545;185;1613,5;750;403,5;368,5;11
"I";255;185;65;74;30,5;16,5;20;4
"I";420;320;110;309;115;64,5;94,5;6
"I";460;370;110;396,5;148,5;85,5;145,5;8
"I";495;330;100;440;177;95;150;7
"M";535;410;120;683,5;312,5;165,5;159;8
"M";575;445;140;737;325;140,5;237;10
"F";655;455;170;1289,5;587;316,5;341,5;11
"F";680;520;185;1494;615;393,5;406;11
"I";425;310;95;307,5;139;74,5;93;7
"M";495;380;120;474;197;106,5;154,5;10
"F";550;425;140;952;489,5;194,5;218,5;7
"F";685;530;170;1510,5;738,5;352,5;372,5;10
"M";505;395;125;635;290;155,5;175;9
"M";560;450;155;912,5;359,5;271;350;10
"M";650;515;180;1331,5;566,5;347;405;13
"I";310;235;75;151,5;56;31,5;50;7
"M";450;335;140;478;186,5;115;160;11
"F";620;485;220;1511;509,5;284;510;17
"I";440;350;120;375;142,5;96,5;115;9
"F";420;320;130;413,5;164,5;106;119;10
"M";550;435;160;906;342;219;295;13
"F";620;500;175;1146;477;230;390;13
"I";440;340;125;489,5;173,5;87,5;200;13
"M";415;320;100;300,5;121,5;57,5;104;11
"M";280;210;65;90,5;35;20;30;5
"M";335;255;75;163,5;61,5;34,5;57;8
"M";365;285;85;220,5;85,5;51,5;70;9
"I";350;265;80;192;81;46,5;53;6
"M";560;450;140;900;472;182;218;7
"M";640;510;170;1371,5;567;307;409;10
"F";650;545;185;1505,5;656,5;341;430;10
"I";370;280;90;256,5;125,5;64,5;64,5;6
"F";625;470;170;1255;525;241,5;405;10
"F";715;585;230;2072,5;865,5;409,5;565;10
"I";485;370;115;637;380;133,5;128;7
"M";575;440;145;870;394,5;219,5;225;8
"F";640;475;175;1154,5;486,5;341;288;9
"I";215;150;55;41;15;9;12,5;3
"I";530;420;130;658;296;124,5;198;8
"I";540;410;135;702,5;310;177;200;8
"I";570;420;130;774,5;353,5;150,5;236,5;9
"F";650;520;195;1627,5;689;390,5;432;11
"I";175;125;40;28;9,5;8;9;4
"M";655;505;165;1270;603,5;262;335;10
"I";475;335;100;442,5;189,5;86;135;9
"I";485;365;125;426;163;96,5;151;8
"M";545;410;140;737;349;150;212;9
"I";585;460;140;763,5;326;153;265;9
"I";595;470;135;936,5;434;184;287;10
"M";650;525;205;1427,5;690;306;435,5;13
"F";670;510;155;1278;560,5;304,5;358;11
"I";360;250;115;465;210;105,5;128;7
"F";380;320;115;647,5;323;132,5;164;7
"F";575;420;190;1764;914;377;409,5;10
"I";450;335;115;393,5;195;71;110;7
"M";740;580;205;2381;815,5;469,5;488;12
"F";450;365;115;588,5;318;121;132,5;8
"I";350;260;95;221;98,5;43;70;8
"I";380;275;95;242,5;106;48,5;210;6
"M";570;440;145;881,5;360,5;195,5;273,5;10
"F";615;455;135;1059;473,5;263;274;9
"M";550;410;150;785;282;186;275;12
"M";410;335;115;440,5;190;85;135;8
"F";565;450;165;976,5;322;244;370;12
"F";570;440;190;1018;447;207;265;9
"F";550;465;150;1082;357,5;194;190;14
"F";655;500;180;1415,5;508;314;445;18
"F";490;385;160;656;245,5;171;205;9
"F";515;400;115;578;191;144,5;170;9
"F";565;455;130;1058;439;264,5;300;10
"M";620;500;200;1221;460,5;263;430;12
"M";515;400;140;736,5;295,5;184;185;16
"M";760;575;190;1829;703,5;386;560;14
"F";520;410;160;712;284,5;153;225;10
"I";580;420;160;728;272,5;190;190;14
"M";550;450;175;1098,5;376,5;215;400;14
"I";315;235;80;180;80;45;47;5
"I";465;355;120;580,5;255;91,5;184;8
"M";485;385;105;556;296;104;133;7
"I";490;385;120;591;271;112,5;177,5;9
"I";295;220;70;136,5;57,5;29,5;35;6
"I";380;300;90;277;165,5;62,5;82;6
"I";420;320;115;409;205,5;93,5;105;8
"I";450;350;135;494;220,5;94,5;140,5;7
"I";580;435;150;891,5;363;192,5;251,5;6
